NR,Rolle,Firma,Typ,Aussage,Cluster,Dauer min.,Dauer max.,Beschreibung,,,,,,,,,,,,,,
30,Head of Community,IT Services,EDM / EDC Anbieter,"Schwer zu sagen. Es kommt halt darauf an, was du als Implementierung siehst, wann ist
die Implementierung für die ..., technisch stellst du das Ding innerhalb von einer Woche hin,",Volle / Restliche Implementierung ,0.5,-,technisch: 1 Woche ,,,,,,,,,,,,,,
30,Head of Community,IT Services,EDM / EDC Anbieter,"Was ich gesehen habe,
ist eigentlich, dass das mindestens diese, also technische Implementierung ist gar nicht so
viel, das ist relativ flott gemacht, es geht aber eben Daten dokumentieren, Daten onboarden,
User onboarden, mindestens ein halbes Jahr, eigentlich eher ein Jahr bis anderthalb.",Volle / Restliche Implementierung ,6,18,"nicht technisch; Daten dokumentieren, onboarden, User onboarden: 6Monate - 1.5 Jahre ",,,,,,,,,,,,,,
30,Head of Community,IT Services,EDM / EDC Anbieter,"Naja, die Frage ist da, was du als Quick Win definierst, wenn du nur sagst, wir wollen
irgendwie 100 User da drin haben, die mindestens einmal wiedergekommen sind, dann
kannst du das in ein, zwei Monaten darstellen, wenn du genug Daten da hast und die
Mehrwert sehen.",First Value ,1,2,Quick Win: 1.2 Moante wenn genug Daten - kommt auf Definition Quick Win an ,,,,,,,,,,,,,,
30,Head of Community,IT Services,EDM / EDC Anbieter,"Wenn du jetzt aber sagst, ich möchte irgendwie die Daten in Analytics Use
Cases umgesetzt haben, im Sinne von den ersten, den zweiten, den dritten, dann wirst du
wahrscheinlich an den Use Cases hängen und die, selbst wenn die irgendwie in Sprints
vorgehen, werden die ersten Benefits frühestens in drei, vier, fünf Monaten sich auszahlen,
also knapp ein halbes Jahr.",First Value ,3,5,Quick Win: Daten in Analytics Use Cases umsetzen.. Frühstens in 3-5 Monaten,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
