NR,Rolle,Firma,Typ,Aussage,Cluster,Beschreibung,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Also es ist immer sinnvoll, einen Data Catalog zu haben aber die Intensität der Implementierung, die würde ich mir vorbehalten. Da würde ich mir nicht von irgendeinem Daten-Katalog-Fritzen sagen, jetzt musst du aber auch diese 10.000 Sachen machen und jetzt musst du alles reportieren, jetzt musst du deine gesamten Daten, da höre ich schon mal direkt weg, wenn einer sagt, du musst deine gesamten Daten, weil das stimmt nicht. Du musst die Daten in Harmonie mit den Use Cases im Prinzip transformieren, aber nicht in einem Big-Bang-Approache. Der Grund dafür ist, dass wenn deine alten Definitionen alle schon schlecht waren und nicht funktioniert haben oder für ganz andere Dinge gebaut worden sind, kannst du nicht erwarten, nur weil ich die dann auf eine neue Plattform packe, dass damit meine Future-Use-Cases jetzt alle funktionieren.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Du setzt eins nach dem anderen um, aber du versuchst schon mal allgemeine Prinzipien von vornherein zu definieren. Das ist aber nicht so schwer, wie es sich anhört. Du hast allgemeine Prinzipien für Data-Gardening, zum Beispiel Single Source of Truth.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
17,Managing Partner,Globale Beratungsfirma,Beratung,"Use Case by Use Case, start with fundamentals.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
17,Managing Partner,Globale Beratungsfirma,Beratung,"So we tend to start with the high-impact, the high-risk areas, and then ideally over time you can catalogue all of your systems and all of your data, but you don't have to have everything catalogued in order to get value from these things.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
17,Managing Partner,Globale Beratungsfirma,Beratung,"We tend to start with the most impactful areas, the biggest pain points.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
17,Managing Partner,Globale Beratungsfirma,Beratung,I think what clients don't have to do though is immediately go and buy and deploy a Collibra type solution.,Step-by-Step Approach,Strukturiertes Vorgehen,,,,
18,Data Lead,Globale Beratungsfirma,Beratung,"Es braucht User Adoption, es braucht Communication, es braucht Trainings.",Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
18,Data Lead,Globale Beratungsfirma,Beratung,"Es muss mit der Strategie des Unternehmens oder der Stakeholder oder der Shareholder des Unternehmens übereinstimmen. Und wenn es gemacht wird, braucht es eine gute Governance, die das auch führt und backt und auch radikal durchdrückt.",Stakeholder-Alignement,Alle Stakeholder integrieren,,,,
18,Data Lead,Globale Beratungsfirma,Beratung,"Das wichtigste ist, dass man weiss, was man will und was man erreichen will mit einer Initiative und wenn man das einfach und verständlich erklären kann, sodass alle integrierten Parteien verstehen, was das Ziel ist und wie man zu dem Ziel kommen will, dann hat man schon die Hälfte von der Arbeit gemacht.",Kommunikation und Mitarbeiterschulung,Transparenz im Prozess schaffen,,,,
18,Data Lead,Globale Beratungsfirma,Beratung,"Der Communication Aspekt ist sehr wichtig, weil die Umsetzung, die technische Umsetzung, die ist ganz einfach.",Kommunikation und Mitarbeiterschulung,Aufklärungsarbeit/Schulung von Mitarbeitern,,,,
18,Data Lead,Globale Beratungsfirma,Beratung,"Wenn man jetzt sagt, auf Business Seite weiss man, was man will, dann muss man es jetzt noch so formulieren können, dass es auch einer, der das technische Verständnis hat, sauber umsetzen kann.",Step-by-Step Approach,Disziplinierte Implementierung,,,,
18,Data Lead,Globale Beratungsfirma,Beratung,"Ein wichtiges Erfolgsrezept ist, dass die Business-Seite frühzeitig mit der IT-Seite zusammenarbeitet. Die IT-Seite, also die Umsetzungsseite muss von Anfang an in Diskussionen miteinbezogen werden.",Stakeholder-Alignement,Alle Stakeholder integrieren,,,,
18,Data Lead,Globale Beratungsfirma,Beratung,"Aber am Ende ist es so, dass wenn es ein Leadership-Backing gibt und wenn dieser Chef dann sagt, wir machen das so und es zu Widerstand kommt, dann sollte dieser Chef sagen können, jetzt gibt es keinen Widerstand mehr, du hättest das vorher ansprechen müssen. Aber dann stellt sich die Frage, ob der, den den Widerstand verursacht abgeholt wurde oder nicht und warum gibt er Widerstand. Wenn er eigentlich so mächtig ist, dass er nicht mitmachen will und nicht mitmachen kann, dann müsste er auch schon in der vorherigen Phase eingebunden worden sein.",Führung und Organisation,Starker Lead,,,,
18,Data Lead,Globale Beratungsfirma,Beratung,"Kommunikation, Dialog und Relationship Management sind sehr wichtig.",Kommunikation und Mitarbeiterschulung,Aufklärungsarbeit/Schulung von Mitarbeitern,,,,
18,Data Lead,Globale Beratungsfirma,Beratung,"Natürlich kann es ein Top-Management entscheiden, weil das Top-Management trägt die Verantwortung und es kann es auch durchdrücken, weil es hat die Kraft hat das durchzudrücken.",Führung und Organisation,Starker Lead,,,,
19,Data Product Owner,Globale Bank,Externe Firma,"In my mind the common tendency to merge data management responsibilities with IT operations, assuming that IT should handle both technology and data is a strategic mistake.",Führung und Organisation,Unterscheidung der Verantwortlichkeiten,,,,
19,Data Product Owner,Globale Bank,Externe Firma,It is important to distinguish between those with technology expertise and those with data expertise. Data ownership and responsibility should lie withing business and not IT.,Führung und Organisation,Unterscheidung der Verantwortlichkeiten,,,,
19,Data Product Owner,Globale Bank,Externe Firma,"From my experience, successfully implementing  an Enterprise Data Model and to a certain extent, the Enterprise Data Catalog depends less on technology and more on governance, communication, and stakeholder alignment.",Kommunikation und Mitarbeiterschulung,Aufklärungsarbeit/Schulung von Mitarbeitern,,,,
19,Data Product Owner,Globale Bank,Externe Firma,"The initiative must be clearly backed by senior leadership, not only from IT but also from business units. This helps ensure prioritization, resource allocation, and adoption across the organization. ",Step-by-Step Approach,Richtig Priorisieren,,,,
19,Data Product Owner,Globale Bank,Externe Firma,"The Enterprise Data Model should never be perceived as just a technical exercise. Engaging business users early especially in defining key data domains, entities, and business terms ensures that the model reflects real operational needs and becomes a tool for alignment rather than a theoretical artifact. ",Stakeholder-Alignement,Alle Stakeholder integrieren,,,,
19,Data Product Owner,Globale Bank,Externe Firma,Define data owners and stewards for each domain. This not only clarifies accountability but also drives data quality and sustainability over time.,Führung und Organisation,Unterscheidung der Verantwortlichkeiten,,,,
19,Data Product Owner,Globale Bank,Externe Firma,"Start small and scale iteratively. One of the most effective approaches is to start with a limited scope for example, focusing on a critical data domain such as customer or financial data  and demonstrating value quickly. This builds momentum and trust for broader adoption. ",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
19,Data Product Owner,Globale Bank,Externe Firma,"Whether using Collibra or a custom-built catalog, success depends on embedding EDM/EDC into daily workflows for example Change-management, data quality monitoring, onboarding processes. If it lives outside the organization’s operational reality, it won’t gain traction.",Funktionierendes Change Management,Change-Management,,,,
19,Data Product Owner,Globale Bank,Externe Firma,"Best practices and ""quick wins"" are important.",Use Case zentrierte Implementation,Quick wins,,,,
20,CEO,Beratungsfirma,Beratung,"Die grosse Schwierigkeit ist die Durchgängigkeit, dass du alles machen kannst. Ich glaube, wenn du an einem kleinen Teil anfängst ist es effizienter, als wenn du sagst, ich will jetzt mein gesamtes Datenuniversum in Collibra abbilden. Und dann glaube ich, irgendwo läufst du auch ins Leere hinein.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
20,CEO,Beratungsfirma,Beratung,"Start small, think big while implementing.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
20,CEO,Beratungsfirma,Beratung,"Ich finde halt es ist meistens viel, viel schwieriger, so ein grosses Projekt mit einem extrem langfristigen Ziel anzugehen, als wenn man mit einem kleinen Teilbereich anfängt.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
20,CEO,Beratungsfirma,Beratung,"Wenn du mit kleinen Teilbereichen anfängst, die du dann auch intern nutzen kannst, um dafür Werbung zu machen und das auszubauen, bist du meiner Meinung nach effizienter, als wenn du sagst, wir fangen jetzt an zu arbeiten und übernächstes Jahr zeigen wir euch ein Datenkatalog. Da denkt jeder, und was habe ich davon, was bringt mir das?",Stakeholder-Alignement,Alle Stakeholder integrieren,,,,
20,CEO,Beratungsfirma,Beratung,"Es ist auch  vom Budget-bekommen in einer Firma einfacher, wenn du mit einem kleinen Teilbereich anfängst, als wenn du sagst, wir brauchen jetzt gleich mal 5 Millionen, um die eineinhalb oder zwei Jahre durchzugehen.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
20,CEO,Beratungsfirma,Beratung,"Wenn das Management dabei ist, dann bist du natürlich erfolgreicher. Aber das setzt sich schon mal voraus, dass eine Data Governance da ist.",Führung und Organisation,Starker Lead,,,,
21,Senior Datra Product Manger,Agrarindustrie,Externe Firma,"Also wir haben dann im Grunde so eine Journey aufgebaut und gesagt, im ersten Schritt sollen sich die Leute halt bei einem zentralen Punkt melden, dass sie Interesse haben, mit unseren Daten zu arbeiten. Dann haben wir gesagt, zuerst kriegt ihr immer Zugang zur Informatika, ihr könnt euch da den Katalog mal anschauen. Und da konnten sie sich durchklicken, auch mit unserer Hilfe. Es gab dann auch immer Knowledge-Sharing-Sessions, damit wir verstanden haben, was sie eigentlich machen, dass wir auch sagen können, hey, ja, guckt doch mal da. Im nächsten Schritt haben sie Zugriff bekommen, um in Databricks auf diese entsprechenden Tabellen zuzugreifen. Und wenn sie dann wirklich Business-Use-Cases entwickelt hatten, und dafür zum Beispiel noch neue Tabellen, neue Aufbereitungen, gebraucht haben, dann haben wir ihnen das zur Verfügung gestellt.",Kommunikation und Mitarbeiterschulung,Aufklärungsarbeit/Schulung von Mitarbeitern,,,,
21,Senior Datra Product Manger,Agrarindustrie,Externe Firma,"Die grösste Herausforderung ist, das Management zu überzeugen, dass das wichtig ist. Und das dauert meiner Meinung nach sehr lange. Wenn die Entscheidung getroffen ist, dass das gebraucht wird und dass das wichtig ist, dann geht es relativ schnell.",Kommunikation und Mitarbeiterschulung,Aufklärungsarbeit/Schulung von Mitarbeitern,,,,
21,Senior Datra Product Manger,Agrarindustrie,Externe Firma,"Die technische Komponente ist nicht das Thema, sondern das zu verankern im Management, dass das wichtig ist und dass das gebraucht wird und denen zu erklären, warum das wichtig ist.",Kommunikation und Mitarbeiterschulung,Aufklärungsarbeit/Schulung von Mitarbeitern,,,,
21,Senior Datra Product Manger,Agrarindustrie,Externe Firma,"Dass man einen CDIO im Top-Management hat, ist die Grundvoraussetzung, um überhaupt irgendwelche Strategien in Bezug auf Daten umsetzen zu können, weil wenn da keine Spokesperson wirklich im Senior-Leadership ist, dannwird es Bottom-Up eher schwierig und langwierig.",Führung und Organisation,Starker Lead,,,,
21,Senior Datra Product Manger,Agrarindustrie,Externe Firma,"Es geht einfach viel schneller, wenn man da Top-Down vorgeht, aber am optimalsten ist die Verbindung zwischen Bottom-Up und Top-Down.",Führung und Organisation,Bottom-up/Top-down,,,,
21,Senior Datra Product Manger,Agrarindustrie,Externe Firma,"Es braucht jemanden der Business- und IT-Welt verbindet, um den Support vom Management zu bekommen. Man muss wissen, welche Business Use Cases, die für die Kunden wichtig sind und einen Business Value haben, mit solchen Daten umsetzbar sind. Das muss man ausarbeiten und damit quasi dem Top-Management umhängen und sagen, das wollen wir machen und dafür brauchen wir so und so viel Geld. Und das ist das, was von Bottom-Up kommen muss.",Use Case zentrierte Implementation,Use Cases herausarbeiten,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Da haben wir jetzt einen fachlichen Verantwortlichen, der Collibra entsprechend voranbringt.",Führung und Organisation,Unterscheidung der Verantwortlichkeiten,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,Die Kombination aus technischer und wirtschaftlicher Perspektive ist erfolgskritisch.,Führung und Organisation,Unterscheidung der Verantwortlichkeiten,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,Wir sind ein paar Use Cases durchgegangen und haben die erfolgreich umgesetzt.,Step-by-Step Approach,Strukturiertes Vorgehen,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Wir haben dann Use Cases identifiziert und natürlich werden so Family and Friends Use Cases sehr, sehr gern gesehen. Also so Use Cases, wo wirklich Leute sind, die Interesse haben an etwas Fortschrittlichem, an etwas Gutem. Die sagten, das macht total Sinn, was ihr da macht und so weiter. Und mit diesen Use Cases sind wir vorangegangen. Da haben wir tatsächlich richtig coole Use Cases gehabt.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,Eine enge Zusammenarbeit zwischen IT und dem Fachbereich ist wichtig.,Stakeholder-Alignement,Alle Stakeholder integrieren,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Viel Kommunikation, also wirklich Change-Management zu betreiben ist wichtig.",Funktionierendes Change Management,Change-Management,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Wir haben viele Schulungen gemacht, also wir haben mit vielen Leuten halt wirklich geredet und Videos gebaut, die wir dann halt auf unterschiedlichen Events bei uns im Hause ausspielen konnten.",Kommunikation und Mitarbeiterschulung,Aufklärungsarbeit/Schulung von Mitarbeitern,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Also diese Kommunikation und die Bedeutung dieses Tuns, was wir hier tun ist, in die Köpfe der Leute zu kriegen, dass sie verstehen, warum sie es machen sollen, welchen Zweck das hat und welchen Mehrwert das denn eigentlich für jeden Einzelnen von uns auch in Zukunft bringt, ist wirklich wichtig.",Funktionierendes Change Management,Change-Management,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Man muss auch das Top Management aufschlauen, weil das Top-Management am Ende ja immer noch die sind, die dann irgendwie so Daumen hoch, Daumen runter machen und dann sagen, das ist ja cool, dass du es machen möchtest, aber du musst jetzt diesen Use Case umsetzen, streich das mal bitte raus, was du da vorhast. Nein, die müssen verstehen, dass es wichtig ist.",Führung und Organisation,Aufklärungsarbeit/Schulung von Mitarbeitern,,,,
8,Experte,SAP,EDM / EDC Anbieter,"Sehr viele, mit denen wir gesprochen haben, haben gesagt, dass sie eher in einer Line of Business angefangen haben und den Wert gezeigt haben und dann auf Interesse gestossen sind, bei den grösseren Teams, um zu überlegen, ob das nicht der richtige Ansatz für die ganze Firma ist.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
8,Experte,SAP,EDM / EDC Anbieter,"Bei uns war es so, dass sie von Anfang an einfach eine Strategie der Datendemokratisierung fahren wollten und das von Anfang an für alle Bereiche machen wollten. Das kann man machen, wenn man das Top-Down-Commitment hat. Wir haben auch den Buy-In vom CIO, weil man braucht dann schon auch relativ viel Geld.",Führung und Organisation,Starker Lead,,,,
8,Experte,SAP,EDM / EDC Anbieter,"Wir haben bei uns ein komplett neues Team aufgebaut. Es sind mittlerweile auch 13 Leute dort. Das kostet viel Geld. Es müssen auch ganz viele Leute mitmachen, deren Zeit dann auch da reingeht.",Funktionierendes Change Management,Change-Management,,,,
8,Experte,SAP,EDM / EDC Anbieter,"Wir hatten auch einen bestimmten Use Case, den wir dann mal End-to-End durchexerziert haben, wo wir auch eine Success-Story aufgeschrieben haben, um zu zeigen, was wir eigentlich meinen und was wir erreichen wollen.",Use Case zentrierte Implementation,Use Cases herausarbeiten,,,,
8,Experte,SAP,EDM / EDC Anbieter,"Wir haben schon drei Lines of Business, auf die wir letzten Endes direkt zugehen und sagen können, jetzt lass uns das mal durchexerzieren für deinen Bereich. Danach können wir zu den anderen gehen und sagen, guck mal, so sieht das bei denen aus. Willst du das nicht auch machen?",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
8,Experte,SAP,EDM / EDC Anbieter,"Viel Commitment, Verständnis, Support von oben ist wichtig.",Führung und Organisation,Starker Lead,,,,
8,Experte,SAP,EDM / EDC Anbieter,"Wir haben auch viele Leute rekrutiert, die Knowledge in dem Bereich haben und dann irgendwann auch ein bisschen frustriert waren, dass sie in ihren Firmen das Commitment nicht haben für diese Idee.",Funktionierendes Change Management,Change-Management,,,,
24,Head of Data EMEA,Globale Bank,Externe Firma,"Before you go big with a message, have a small group where you have a test of five people and gather all the challenges and complaints that they face. Get the best answer possible for those and then before they ask, you preempt the challenges that you will face.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
24,Head of Data EMEA,Globale Bank,Externe Firma,"Find the use cases where people feel engaged, otherwise they won't use it. No matter how good they are.",Use Case zentrierte Implementation,Use Cases herausarbeiten,,,,
24,Head of Data EMEA,Globale Bank,Externe Firma,"If you're a little bit fearful about using a particular tool, don't worry. First of all, I will find relevant use cases for you and I will walk you through the relevant use case for you so that you see how easy this tool is to use.",Use Case zentrierte Implementation,Use Cases herausarbeiten,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Du brauchst für so einen Data-Catalog in der Firma einen Owner, der dieses Tool und die Kultur rund um diesen Data Catalog und Aktivitäten macht, egal ob aus dem Data-Governance Team oder dem Business oder Analytics Team.",Funktionierendes Change Management,Change-Management,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Man braucht einen kreativen Menschen, der ein bisschen Marketingverstand hat, weil er muss Marketing machen, um das Tool wirklich zum Leben zu bringen.",Kommunikation und Mitarbeiterschulung,Aufklärungsarbeit/Schulung von Mitarbeitern,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Man muss das Data Maturity Level der Firma kennen, um auch den Nutzen zu erkennen. Vor der Einführung von einem Data Catalog muss man Trainings machen, Data-Literacy einführen und erst dann über Data Catalog sprechen.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Das Versanden eines Data Catalogs kann man verhindern, indem man eine klare Definition vom Business Value, ein klares Alignment hat, und wenn man versteht, dass das eigentlich ein Kulturthema ist, wo das HR oder People Team integriert sein muss, weil man das über die ganze Firma ausbreiten muss.",Funktionierendes Change Management,Change-Management,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Es braucht ein zentrales Datenteams, was Reglemented Education verwendet und den Leuten zeigt, wie was zusammenhängt.",Kommunikation und Mitarbeiterschulung,Aufklärungsarbeit/Schulung von Mitarbeitern,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Man muss Motivation schaffen und Kosteneinsparungen aufzeigen und das so lange challengen, bis alle ein klares Bild haben, was der wirkliche Business Wert ist.",Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,Der Erfolg hängt vom oberen Management ab.,Führung und Organisation,Starker Lead,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Die Leute in der Firma müssen auch in der Lage sein, über Business und Business-Wert zu sprechen. Es kann nicht sein, dass wir sagen, wir müssen den Leuten beibringen, wie sie über Daten sprechen, wir müssen ihnen auch beibringen, wie sie über Business sprechen. Und wenn sie beides können, dann können sie wirklich datenbasiert Entscheidungen treffen, und urteilen, ob da jetzt ein Wert drin steckt oder nicht.",Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,Durch viele Meetings und das viele sprechen über Daten und das Business hat man einen Fokus auf was das Business treibt und was man messen kann.,Kommunikation und Mitarbeiterschulung,Aufklärungsarbeit/Schulung von Mitarbeitern,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Man muss mit verschiedenen Arbeitsgruppen erstmal alle an Bord holen, dann kann man es global announcen, damit es auch wirklich jeder mitbekommt.",Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Wie authentisch können die Leaders diese Themen runterbringen, dass ihre Mitarbeiter mitgenommen werden. Das ist für mich ein Trust-Thema und Trust-Themen sind für mich wieder Leader-Themen. ",Führung und Organisation,Starker Lead,,,,
7,Data Architect,Versicherungsfirma,Externe Firma,We work in an agile methodology and we always try to deliver some business value every month or every release which is generally a quarter but that's part of the enterprise data model or catalog. So we slowly we start small and then we build on top of that foundation to fully realize the enterprise data model and data catalog and that's typically how the journey goes.,Step-by-Step Approach,Strukturiertes Vorgehen,,,,
7,Data Architect,Versicherungsfirma,Externe Firma,"Start small, if you start with a Big Bang and you only realease it once everything is developed which is typically in like 12 months or so, Business loses trust on what is happening and they feel that the money is being wasted on those tasks.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
7,Data Architect,Versicherungsfirma,Externe Firma,When we design or implement an Enterprise Data Model we try to deliver one data domain model every quarter so that the business can look at it and see the value of harmonization and standardization coming to production which is also reflected in the Data Catalog.,Step-by-Step Approach,Strukturiertes Vorgehen,,,,
7,Data Architect,Versicherungsfirma,Externe Firma,"Generally, Top-Down works better because the push comes from the top and then there is a bit of hesitation and a bit of uncertainty at the ground level but nevertheless people will follow and throughout the journey their doubts or uncertainties are addressed.",Führung und Organisation,Bottom-up/Top-down,,,,
7,Data Architect,Versicherungsfirma,Externe Firma,If it goes Bottom-Up then it has to be really a hard push from somebody from the ground level with a lot of justification and a lot of business proposals and there is always going to be a conflict of priorities and the conflict of the focus. If it is not in the organization's strategy it is very difficult for the ground level workforce to drive such initiative because one of the success factors to fully drive such initiatives is the leadership support.,Führung und Organisation,Bottom-up/Top-down,,,,
25,Head of Data DACH,IT Consutling,Beratung,Change-Management ist wichtig.,Funktionierendes Change Management,Change-Management,,,,
25,Head of Data DACH,IT Consutling,Beratung,"Wir empfehlen den Kunden immer kleine Schritte zu machen und Use Cases, sowie low hanging fruits zu nehmen. Dadurch ist man zielorientiert und man kann die Resultate einfacher zu sehen.",Use Case zentrierte Implementation,Quick wins,,,,
25,Head of Data DACH,IT Consutling,Beratung,In einem ersten Schritt sollte man die Use Case definieren.,Step-by-Step Approach,Strukturiertes Vorgehen,,,,
25,Head of Data DACH,IT Consutling,Beratung,"Bei Widerstand ist der menschliche Askpekt wichtig. Man muss zuhören, Geduld haben, aber trotzdem transparent bleiben.",Funktionierendes Change Management,Change-Management,,,,
25,Head of Data DACH,IT Consutling,Beratung,"Beide Setien, Business und IT, müssen sich involviert fühlen, damit keine komischen Reaktionen am Ende entstehen und man dann alles wieder vom Anfang an gemacht werden muss.",Stakeholder-Alignement,Alle Stakeholder integrieren,,,,
26,Data Executive,Finanzdienstleistungen,Externe Firma,"My CIO said, I do not want to hear cost savings because if you are going to undertake a project and just tell me we are going to save money, I'm not interested. He said he can find a thousand ways to save money. He wants to see more value than that, for example generating a higher revenue and he also mentioned that cost savings will come in some way or the other. If you think from a cost saving standpoint when you are thinking about a new initiative then you are not really aiming for the sky. You are trying to be very safe. So when we move to Collibra, of course, we will be having cost savings in terms of efficiency and time and other things, but it is more broader than that.",Step-by-Step Approach,Just-Do-it Mentalität,,,,
26,Data Executive,Finanzdienstleistungen,Externe Firma,"I'm not saying we should not worry about cost saving. But why stop at just cost saving? Because when you look at that, a lot of times people, once they are able to articulate how much they're saving, they relax and they don't want to really do anything more than that. So just think like £100 or £10,000. You're missing £9,900 when your're not thinking about how you can generate additional value. And it's like a factor of n when you look at value generation, and cost saving are not going to help.",Step-by-Step Approach,Just-Do-it Mentalität,,,,
26,Data Executive,Finanzdienstleistungen,Externe Firma,"A lot of times human beings are resistant to change. But just last month, I saw this line from somebody on the internet. He said, people are not resistant to change, they are resistant to being changed to different things. So you have to really show the greater value. It's this and the other term, what is in it for me?",Funktionierendes Change Management,Change-Management,,,,
26,Data Executive,Finanzdienstleistungen,Externe Firma,"So everyone from the most junior level role to all the way to the senior executive, the C-suite, they have this question like, why should I do it? What is in it for me? So we had the same thing here. Like, hey, something is working fine because 98% of the time, people don't see the big picture, what they are missing. They are only able to see what is in front of them. So you have to actually try to showcase that and show the value.",Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
26,Data Executive,Finanzdienstleistungen,Externe Firma,"I had to work with the different stakeholders and try to explain and show them the value and get them motivated because it is not a one-person job. Everybody has to be on board and they have to work with the same interest and motivation. Otherwise, you know, they say you are as strong as your weakest link, right? All it takes is one person to still keep doing the old way and now you found something is like slowing everything down. So here we had to go through that and explain to people. And then when people appreciate, understand, they are willing to go 110% in those new initiatives.",Funktionierendes Change Management,Change-Management,,,,
9,Chief Data Officer,Wirtschaftsprüfung,Beratung,"Die Entscheidung trifft in der Regel ein Business-User, also jemand, der aus dem Business ist und eine non-technical Person ist. Vor allem den EDM-Case, einer non-technical Person zu erklären, braucht Aufwand, braucht Education, braucht auch unheimlich viel Feingefühl, was verstehen die Leute noch und wo ist es zu technisch.",Kommunikation und Mitarbeiterschulung,Aufklärungsarbeit/Schulung von Mitarbeitern,,,,
9,Chief Data Officer,Wirtschaftsprüfung,Beratung,Die Executives müssen Überzeugungsarbeit leisten.,Funktionierendes Change Management,Change-Management,,,,
9,Chief Data Officer,Wirtschaftsprüfung,Beratung,"Wenn aus der Data Ownership Vergabe mehr Verantwortung hervorgeht, muss man auch höhere Lohn zahlen oder die Leute irgendwie befördern.",Führung und Organisation,Incentivierung ,,,,
9,Chief Data Officer,Wirtschaftsprüfung,Beratung,"Ich muss einen sauberen Business Case schreiben, das heisst, ich muss mal runterschreiben, was will ich überhaupt machen, was will ich erreichen, wie will ich das erreichen, welche Benefits hat das Ganze, welche Kosten bringt das mit sich, wie lange dauert das,... , aber am Schluss muss ein sauberer Business Case gemacht werden.",Führung und Organisation,Bottom-up/Top-down,,,,
9,Chief Data Officer,Wirtschaftsprüfung,Beratung,"Man muss auch identifizieren, wer jetzt hier die Stakeholder sind, also wer approved mir das Ganze und wer von den Stakeholder, die zwar nicht approven, sind wichtig, um die oberen Stellen auch zu überzeugen.",Führung und Organisation,Bottom-up/Top-down,,,,
9,Chief Data Officer,Wirtschaftsprüfung,Beratung,"Ich brauche vielleicht nur den CFO, der ja sagt, aber wenn ich halt einen Chef der IT noch habe, dann wäre es vielleicht gut, wenn der vorher auch schon ja sagt und der vorher auch schon mit dem CFO geredet hat, bevor ich das Projekt zum CFO bringe. Ich muss halt die richtigen Stakeholder am Schluss einweihen und ich muss für jeden Stakeholder meine Kommunikation so anpassen, dass dieser den Case verstehen kann, mit einem Chef der IT muss ich vielleicht technischer reden und mit einem CFO muss ich eher auf über die Kennzahlen, den Business Case in den finanziellen Gewerken reden. Der CEO will vielleicht irgendwie das Big Picture sehen und der Chief Risk Officer will sehen, welche Risiken gibt es, wie adressiere ich diese Risiken. Da ist es unheimlich wichtig, die Leute in ihren Gebieten auch abzuholen, weil wenn ich den Chief Risk Officer mit den Finanzzahlen vollrede und dem CFO erzähle, wie risikoreich das Ganze ist und dem CEO die technische Architektur präsentiere, dann habe ich verloren.",Führung und Organisation,Bottom-up/Top-down,,,,
27,Data Steward,Bank,Externe Firma,"You have to sell this idea to the management team, the board, whatever, so that once the main decision makers and the leaders of the company are on board they are going to support this initiative Top Down.",Führung und Organisation,Bottom-up/Top-down,,,,
29,Geschäftsleitung,Collibra,EDM / EDC Anbieter,"For the initiative to be successful, business needs to be involved. If they are not involved, the initiative is going to hit a wall at some point in time.",Stakeholder-Alignement,Alle Stakeholder integrieren,,,,
29,Geschäftsleitung,Collibra,EDM / EDC Anbieter,"Let’s imagine I go to IKEA to buy a bed and a bookcase. I check the IKEA catalog, but it only shows me the planks, nuts, and bolts. While it’s true that a bookcase consists of these parts, I still need to understand how they fit together. The catalog just lists the individual components planks, nuts, and bolts without showing me the complete bookcase. This is similar to a catalog initiative implemented as a purely technical metadata repository, serving mainly technical users. While that might work for a while, the initiative is bound to hit a wall unless it eventually involves the business side to provide complete, user-friendly context.",Stakeholder-Alignement,Alle Stakeholder integrieren,,,,
29,Geschäftsleitung,Collibra,EDM / EDC Anbieter,"You need to have at least three use cases identified. This is our recommendation between one to three. And then you need to prepare yourself that during your journey, you're going to come up with more use cases. Because if you're six months or 12 months into your catalog initiative and you only start talking with those privacy people, then then only the use case of the process registry is going to come up. So what I mean is that to make this successful there needs to be a roadmap of use cases that you're going to be implement in your catalog initiative. And every use case is going to depend on a persona in the organization.",Use Case zentrierte Implementation,Use Cases herausarbeiten,,,,
