NR,Rolle,Firma,Typ,Aussage,Cluster,Beschreibung,,,,,
30,Head of Community,IT Services,EDM / EDC Anbieter,"Ich sehe diese Cost of Doing Nothing insbesondere in allen Analytics-bezogenen Bereichen. In Zeiten von AI will jeder Vorstand sagen, unser Unternehmen macht KI und ist da führend dabei. Cost of Doing Nothing heisst für mich, dass du eigentlich nicht AI-ready bist und damit dann im Prinzip alles, was in den nächsten Jahren kommen wird, verschärfen wirst. Das kannst du nicht ökonomisch in Franken irgendwie ausdrücken. Aber für mich ist das eine Kern, also wie gesagt, ist da wieder Enabling. Enabling heisst nicht, dass du dann von heute auf morgen, dass irgendwas stillsteht. Enabling heisst aber auch, dass du nicht in der Lage bist, irgendwie weitere Sachen zu tun.",Risiko Nicht-Implementierung,AI,,,,,
26,Data Executive,Finanzdienstleistungen,Externe Firma,"It is going to cost you so much that it will threaten the existence of the company. And I'll tell you what, maybe the company may survive for some time because it had some residual growth and some residual momentum. But eventually, that is not going to take you too far because you got to because there is so much competition from your other organizations, right? Because maybe you had a head start, so you didn't have much. But with the technology, the cloud, Gen AI, the barrier to entry has really gone down. So what that means is there are new players that will jump into it. They are agile and nimble and they can change fast and they may overtake you, making you redundant and insignificant. And eventually your organization may die. So this is very important to have these things in place and move forward.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
26,Data Executive,Finanzdienstleistungen,Externe Firma,"Your entire existence is depending on it. And again, people will say, you know what, I'm not impacted. I don't see it, but it's just a matter of time. It can be a year or it can be five years before there is somebody who is being more effective and having a better product than you because they are able to manage their assets better.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
26,Data Executive,Finanzdienstleistungen,Externe Firma,"Yeah, so, you know, a lot of times mostly human beings are resistant to change. But just last month, I saw this line from somebody on the internet. He said, people are not resistant to change. They are resistant to being changed to different things. So you have to really show the greater value. And, you know, this other term, what is in it for me? So everyone from the most junior level role to all the way to the senior executive, the C-suite, they have the question like, why should I do it? What is in it for me? So we had the same thing here. Like, hey, something is working fine because 98% of the time, people don't see the big picture, what they are missing. They only are able to see what is in front of them. So you have to actually try to showcase that and show the value.",Risiko Implementierung,Kulturell,,,,,
3,Experte,Collibra,EDM / EDC Anbieter,"And the consequence is not immediately obvious. Right. Things start to fail after, it will take time to fail, but when they do, it will be catastrophic.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
3,Experte,Collibra,EDM / EDC Anbieter,"Right. But until that happens, it's not going to, you know, so one of the things, not doing it is that depending on, obviously dependent on the sector, fines, large fines could happen. Right. We have a customer who came to us just because they got fined and they had to implement a data program. They got fined and some people died. Because they mishandled some codes. Right. So it could be a simply reputational damage or large fines.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
3,Experte,Collibra,EDM / EDC Anbieter,"The other one could be simply that you cannot compete with companies that are now coming up with faster, quicker turnaround times. Because if you don't know where your data is, if you don't understand what it means, and if you can't trust it, you can't do quick things compared to other companies who are in that program, understand what something means.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Das Ding wird komplett ignoriert, wenn ich es nicht promote.",Risiko Implementierung,Kulturell,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Ich glaube mal, das ist da auch schon ein bisschen so. Ich meine, das ist einfach Vorbereitung auf diese ganzen AI-Themen und so weiter. Also wenn du einfach da nichts tust und deine Daten nicht im Griff hast, dann verhinderst du auch einfach, dass du bestimmte Pfade in der Zukunft beschreitest. Dann läuft dir das Risiko, dass du aussortiert wirst vom Markt.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Das zweite ist, häufig fangen halt einfach Unternehmen an, in irgendeiner Ecke da irgendwie dann so Datenkataloge einzuführen, sehr irgendwie Grassroot-Movement von unten heraus, ohne dass es eigentlich eine Unternehmens- oder zumindest divisionsübergreifende Strategie gibt, wo man hin will, und dann bleibt das halt im Silo, und der Power kommt ja erst, wenn ich wirklich in der Breite meine Daten im Katalog habe und das alles miteinander vernetze, irgendwie auch einheitliche regulären Standards habe, wie ich damit umgehe, was ich damit mache.",Risiko Implementierung,Technisch,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"It depends on how everything is kind of connected together. So that's for the enterprise data model. For the catalogs, my point of view is that, as some of my colleagues are saying, if you think that having governance is expensive, try not to have one. I think it's more about when you have a mess, if you just do a data dump, so you have your data cloud, you just put everything there. No one knows what's in there. Try that. And you see how much time data scientists are wasting, how much time is wasted on deciding. So then you create a complete mess that almost like paralyzes your operations. And it's almost like the cost of not doing that is very high. The cost of doing that is kind of discrete because you need to invest in a tool and you need to invest in the processes to keep the house in order. But it's a bit about, just imagine that we will never collect rubbish, right? And everyone dumps rubbish where they want. Well, it's certainly, you don't have the cost of the rubbish collectors and the trucks, they clearly don't have that cost. It's also their life. So I think it's a bit in the same. So you create more costs by not having those things, if that makes sense.",Risiko Nicht-Implementierung,Wissenslokalisierung,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"Jeder speichert die Daten einfach, werden vielfach dubliziert, hohe Cloud kosten, Data Scientists finden Daten nicht",Risiko Nicht-Implementierung,Wissenslokalisierung,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,Falsche Behandlung von Daten -> Strafen wie Bussen oder Gefängnis ,Risiko Nicht-Implementierung,Wettbewerb,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"So, you might have the best tool, and Collibra is really good, you can have perfect, you can, you know, you name it. But if you don't have the discipline and the processes in the organization, that money is definitely wasted.",Risiko Implementierung,Finanziell,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"Yeah, absolutely. And the reason is, because we're thinking that technology can solve everything. You know, we need to start with processes. You know, what we're describing here is the process of governance in a process of discipline. That means that I have discipline about the data that I put in, my data lake, I understand which data I put in. I can put it, to start with, you can even put in Excel, that's okay. But you show some discipline in what you're doing, in some way of being in control of what you're doing. That cannot be replaced by a tool. So, and that's always what happens. So, you might have the best tool, and Collibra is really good, you can have perfect, you can, you know, you name it. But if you don't have the discipline and the processes in the organization, that money is definitely wasted.",Risiko Implementierung,Kulturell,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"So cost of doing nothing would be a five on the scale we mentioned before? Yeah, because I've seen, it's interesting because I've seen a lot of those kind of very promising companies that they haven't really spent the time in this kind of things. And then it gets to a point in which they get the first round, the second round is good, it's a proper concept, brilliant, amazing. But then when, yeah, they are successful.
Okay. At some point, they kind of set more customers and everything breaks down. Then the investment that you need at that point is so high, they don't manage to get so much money that they need. And so essentially, they kind of, that's it, end of the story. I've seen it many times. And that's for small companies trying to get big. Large company, well, really difficult. So the only way that you can survive is that you can, you continue to put more bodies at it. Yeah, so you would have these centers in local locations, and you move from 100, 1000, then you have all these people doing excels and stuff like that. But you know, I think you also you get a point, you can't do that any longer. But you can still, you know, throw bodies at it. And yeah, that's the only way of surviving if you don't have that neat infrastructure in place.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"Yeah, I think the risks are real because people still don't see the value that this brings and they're thinking this is somebody else's job. So I think that the real risk is that not having the, I guess, the stakeholders really see the value. Because if they don't see the value, they're notgoing to participate. So the risk of failure is basically directly, I guess, depends on the ability to sort of align the users and the leadership to see the value. And if that doesn't happen, it's not going to see the day. So really the involvement is really key for success.",Risiko Implementierung,Kulturell,,,,,
15,Data Manager,IT Services,Externe Firma,"So cost of doing nothing is immense. A lot of time, organizations, unless they are government funded, like I gave the example, a lot of private companies will just disappear because they don't know what they do with different data which is all scattered and everything, and the cost of doing nothing is immense because figure out, you got all the problems in the world, right? And then eventually you are playing flute, right? When the world was burning away. So it's very, very similar analogy but it's pretty much like that. Say, I don't want to do anything, okay? Your business will just eventually over the period of time deteriorate, right? That's the cost. ",Risiko Nicht-Implementierung,Wettbewerb,,,,,
15,Data Manager,IT Services,Externe Firma,"If you don't pursue a data model or data catalog that would be quite bad. Like, for example, I explained it in my previous explanation. If you don't go it, common reporting, you don't have a common reporting platform, right? Then you are already spending a lot of money to put the data together. For example, there's a system to transact. Yeah. But then often, how you basically prepare your business for future, how you prepare your business for growth, right? One thing is about running the business as an operational way and one thing is running from growth. Unless you have a common view of looking at business futuristic for the next five years, unless you have a common terminology, common language, which enterprise data model, enterprise data catalog can actually give you, right? ",Risiko Nicht-Implementierung,Wettbewerb,,,,,
15,Data Manager,IT Services,Externe Firma,The cost of doing nothing on a scale of one to five would be five out of five.,Risiko Nicht-Implementierung,Wettbewerb,,,,,
