NR,Rolle,Firma,Typ,Aussage,Cluster,Beschreibung
3,Experte,Collibra,EDM / EDC Anbieter,"I'll give you another example, a very simple example that I was working with a bank and they had about, I think,
10,000 or 11,000, like a lot of code sets. Now they were getting this from Experian, they were getting it from different credit organizations and other things, right? But what they found after they brought that into Collibra was that some of those were almost the same, but they were paid separately. They were paying separately to Experian or whatever it is, right? And some of them are very similar with very small differences, right? So what they did was that they managed to bring down the number of code values and code sets from 11,000 to, I think, to about 7,000 or 8,000. So that's a huge, that's a huge saving because they're not paying anymore for whatever that was. So those things are practical things that can happen that would immediately show value, right? Because you can say, now we've reduced the number of code sets and previously we were paying $10 million, now we're only paying $4 or $5 or whatever it is, right?",Vermeidung teurer Daten-Duplikate ,"11'000 code sets (Data) reduced to 7000 --> mussten nur noch 
für 7000 Sets bezahlen, weil 4'000 ähnlich waren. --> vorher 10 Millionen für Code Sets bezahlt und nachher 4-5 Milllionen"
3,Experte,Collibra,EDM / EDC Anbieter,"And the consequence is not immediately obvious. Right. Things start to fail after, it will take
time to fail, but when they do, it will be catastrophic.Right. But until that happens, it's not going to, you know, so one of the things, not doing it is that depending on, obviously dependent on the sector, fines, large fines could happen. Right. We have a customer who came to us just because they got fined and they had to implement a data program. They got fined and some people died.

The other one could be simply that you cannot compete with companies
that are now coming up with faster, quicker turnaround times. Because if you don't know
where your data is, if you don't understand what it means, and if you can't trust it, you can't
do quick things compared to other companies who are in that program, understand what
something means.",Cost of Doing Nothing,-
11,Experte,Collibra,EDM / EDC Anbieter,"Beispielsweise typische Produktivitätssteigerungen im Data Governance Bereich, wenn ich die Zahlen nicht richtig im Kopf habe, liegen so bei 13 bis 15 Prozent. Jetzt überlegen wir mal,
da sind 500 Leute damit beschäftigt. Die sparen 15 Prozent ihres Aufwandes für Datenmanagement ein. Da reden wir über Millionen Savings. So, also das ist das Erste. Automatisierung, Produktivitätssteigerung.",Steigerung Wertschöpfung,"Kosten durch Produktivitätssteigerungen in Data Governance: 13 - 15% Reduktion Aufwand --> bei ca. 500 Personen, Einsparungen
von Millionen"
11,Experte,Collibra,EDM / EDC Anbieter,"Collibra steigert die Produktivität im Datenmanagement durch Automatisierung, was besonders bei großen Teams zu enormen Zeit- und Kosteneinsparungen führt.",Reduktion Zeitaufwand,-
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Bei der Bildung von Paletten muss man sicherstellen, dass die Reihenfolge, wie die Palette gebildet wird, ungefähr der Reihenfolge entspricht, wie sie auch wieder auseinandergenommen wird in der Filiale. Sprich, man versucht ein Filial-Layout darzustellen und wenn man das Ganze dann macht und die Palette sehr kompakt wird, dann kann man Transportkosten einsparen. Aus diesen verschiedenen Faktoren heraus gibt es unendlich viele Kombinationen. Dann hat man auf der einen Seite 5.500 Artikel, auf der anderen Seite 700-800 Filialen und alle Kombinationen. Jetzt kann man relativ grob sagen, mach die Getränke unten und mach die Chips oben, der Mensch kann nach 80-20 eine Lösung finden, die ganz okay ist. Aber jetzt muss man mit Daten zu arbeiten beginnen und es reicht eben nicht einfach nur Volumendaten zu haben, die ungefähr stimmen, sondern sie müssen sehr präzise sein. Dann braucht man weitere Datenattribute, wie stabil ist eine Chipsverpackung effektiv und wie sehen die Filialen aus. Das muss man irgendwie in ein Datenmodell bringen. Dort haben wir einfach mit einem besseren Optimierungsalgorithmus einige Prozent rausgeholt an Paletten, die wir eingespart haben. Das waren 800.000 Schweizer Franken Einsparung pro Jahr. Ich muss keinem Roboter etwas neu beibringen, ich muss keinen Logistikmitarbeiter schulen, ich muss keiner Filiale etwas erklären. Ich muss nur mit Daten arbeiten und die Einsparungen einkassieren.",Steigerung Wertschöpfung,800'000 CHF Einsparungen 
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"In Bezug auf Kosteneinsparungspotential können wir ja mal die Kostenstruktur grundsätzlich durchgehen, so von einem Operationsbetrieb. Dann kommst du relativ schnell auf Personalkosten. Das sind meistens sehr hohe Aufwendungen. Und Personalkosten einsparen zu können bedeutet grundsätzlich, dass du Personal sauber planen kannst und dass du messen kannst, wie dein Personal im Einsatz ist. Also wo ist es effizient, wo ist es nicht effizient. Dort, wo es nicht effizient ist, wo unterstützt es die Qualität oder wo ist es schlicht einfach Verschwendung oder Leerlauf. Und da hast du einerseits aus dem Planungscycle heraus den Bedarf, besser forcasten zu können. Und Forecasting ist eigentlich immer Data Crunching und Prognose ist immer prädestiniert, um mit Algorithmen oder mit KI-Systemen zu arbeiten.",Reduktion Personalaufwand,-
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Sobald du Managemententscheidungen treffen willst und Personaleinsatzplanung, das ist ein Managemententscheid, ist ja die Frage, wie kann das Management die Situation begreifen. Und das ist eine Frage der Datenaufbereitung und Darstellung. Und wenn du Schichtmodelle, Personalkörper, Fähigkeiten von Personal gut darstellen kannst oder allenfalls dann sogar über Algorithmen, weil du saubere Daten hast, optimieren kannst. Also du hast die ideale Belegschaft auf Basis der Fähigkeiten, der Einsatzbereitschaft, der Schichtzeiten, des prognostizierten Volumens, dann hast du wieder Savings.",Steigerung Wertschöpfung,-
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"In Bezug auf Kundeninteraktionen im Kundendienst, wenn der Kunde super viel Zeit bekommt von deinem Mitarbeiter, dann ist das vielleicht super und die sind alle super happy, aber du verlierst Geld. Und über aktuelle LLM-Modelle kannst du ja die Sprache des Kunden verstehen, du kannst seinen Temper verstehen, du kannst messen den Delta zwischen Anfangszustand und Endzustand oder Zwischenzustände und du kannst eigentlich optimieren, wie, ab welchem Zeitpunkt lohnt es sich, noch am Telefon zu bleiben und ab welchem Zeitpunkt sagst du dem Kunden, du hängst quasi auf, weil du kannst eh nichts mehr gewinnen oder gehst du in einen Gesprächsbeendungsmodus, weil du merkst, der Kunde ist jetzt eigentlich zufrieden. Auch das sind Use Cases, die du anwenden kannst, um die Hard Savings zu gewinnen",Steigerung Wertschöpfung,-
33,Director Data Strategy,Beratungsfirma,Beratung,"Or they don't find it because it's too hidden, the data, and they create the same data set one more time, then you're going to have an additional cost complexity problem, right? So, then you're running like a shadow data center. So, those are the usual problems scaled up on an organizational level.",Kosten durch Komplexität,-
33,Director Data Strategy,Beratungsfirma,Beratung,"Yeah, the number we say is you can reduce your time to find data by 50 to 80%, as we usually say. But that's only based on the sample of our projects that we have, right? So it's never gonna be like a really full estimate that's very well organized.",Reduktion Aufwand ,50 - 80%
,,,,,,
