NR,Rolle,Firma,Typ,Aussage,Cluster,Beschreibung,,
14,Berater,Globale Beratungsfirma,Beratung,"so, there's the business glossary that contains all of your business terms on a business context level. So, let's say a customer is a business term. A customer is a client of the bank or it could be a client. Then there's the data, let's say a client is a business term contained within the business glossary. So, you have that one list of business terms. For example, a client is a person who transacts with the bank. And then you have a data catalog, which represents a data element, which is a collection of data attributes. So, for example, the data catalog version of a client will be a customer. A customer is a specificperson who takes out a loan or invests with the bank or has a checking account with the bank. And then that data catalog contains all of the data attributes underlying that particularelement, which you can find in the data dictionary. So, there's three things. There's a data dictionary, the data catalog, and the business term. And they're all linked. The data catalog is sort of in the middle, helps you go from the highest level of a business term to seeing which sort of definition or package contains further details and more granularity. And the most granularity is contained within the data dictionary. So, let's say a client in the business term represents a data element in the data catalog, which could be a customer with its own definition and its own metadata. ...Because that makes tracking stuff easier",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),Gleiche Terminologie → Nachvollziehbarkeit,,
14,Berater,Globale Beratungsfirma,Beratung,"Business Glossary, Data Catalog und Data Dictionary zusammenwirken: Der Business Glossary enthält abstrakte Geschäftstermine, der Data Catalog verbindet diese mit konkreten Datenobjekten, und das Data Dictionary liefert die technischen Details auf Attributebene. Der Data Catalog fungiert dabei als zentrales Bindeglied zwischen fachlicher Bedeutung und technischer Umsetzung....It makes everything more auditable",Verbesserung für Regulatorik und Compliance,Gemeinsames Datenverständnis einheitliche  Terminologie & Datenvergleichbarkeit --> Prüfbarer,,
14,Berater,Globale Beratungsfirma,Beratung," Business Glossary, Data Catalog und Data Dictionary zusammenwirken: Der Business Glossary enthält abstrakte Geschäftstermine, der Data Catalog verbindet diese mit konkreten Datenobjekten, und das Data Dictionary liefert die technischen Details auf Attributebene. Der Data Catalog fungiert dabei als zentrales Bindeglied zwischen fachlicher Bedeutung und technischer Umsetzung...And it also gives more granular control over the ownership of these things.",Verbesserung Data Governance,Nachvollziebarkeit --> bessere Data Governance,,
14,Berater,Globale Beratungsfirma,Beratung,"And what they needed to do, they needed to identify what data is required for that model. So, they had a bunch of data requirements. ",Datenauffindbarkeit,-,,
14,Berater,Globale Beratungsfirma,Beratung," So, they wanted to unify those requirements across the different portfolios that the bank had.","Gemeinsames Datenverständnis, einheitliche Terminologie & Datenvergleichbarkeit",-,,
14,Berater,Globale Beratungsfirma,Beratung,"So keeping that aside for a second, what data catalogs do really well is that they provide you a platform centrally for the entire company to view.","Gemeinsames Datenverständnis, einheitliche Terminologie & Datenvergleichbarkeit",-,,
14,Berater,Globale Beratungsfirma,Beratung,"But if you have a data catalog centrally stored on a group- wide level for everyone to view, that is a place where you can make agreements and then hold people accountable. ",Verbesserung Data Governance,klare Verantwortlichkeiten --> bessere Data Governance,,
14,Berater,Globale Beratungsfirma,Beratung," So you need to have a data catalog in place, you need to have certain standard procedures and committees in place to approve the information being populated in the data catalog. Once you have these two components up and running, then you can say with certainty that, okay, we made agreements with everyone involved, we have stored it in a central location accessible for everyone",Accessible (Zugänglichkeit),-,,
14,Berater,Globale Beratungsfirma,Beratung,"human aspect of it, getting people together, getting people to agree on all of these things, to come to a point where they're okay with what's being populated in the data catalog in the first place",Verbesserung Kooperation,-,,
15,Data Manager,IT Services,Externe Firma,"So you need a common vocabulary. You've got so many systems which, and you look at from business perspective, what they really want to know. If they want to service a particular customer, right, or their particular use case, they need to pull data not from one system, from multiple systems. So how it happens that we basically use a common, there has to be common vocabulary. Otherwise, every system contains data in its own format.

They need a common vocabulary where the enterprise data model comes in a picture and you need to have some standard. Otherwise, every system will say, I follow this standard, I follow that standard. Then they are managed by different vendors.

You need a common standard, where the enterprise data model comes in the picture. So you need a standard, so common information model, electricity, if you look at a standard, right? I used that to actually design the enterprise data model at conceptual level.","Gemeinsames Datenverständnis, einheitliche Terminologie & Datenvergleichbarkeit",-,,
15,Data Manager,IT Services,Externe Firma,"Different systems only keep a different kind of data. There are different bespoke systems which only serves a particular purpose. They share, they got an API running from one. Some technical vendors design it, right? And when you really want to go on all those things, you really need a common vocabulary. Otherwise, you can't go on something. Like an example, if you design the data catalog using data model or anything, data catalog need a common vocabulary. That's the most important thing. Otherwise, you're pulling from so many systems.",Interoperabilität,Interoperabilität --> Gemeinsames Datenverständnis einheitliche  Terminologie & Datenvergleichbarkeit,,
15,Data Manager,IT Services,Externe Firma,"Often when you have the common terminology, common taxonomy, they can do it very well themselves, right? Then you're not putting in large data team to guide them every day. The whole data stewardship model is based on the business people are running the function, right?",Self-Service,Gleiche Terminologie → Self Service ,,
15,Data Manager,IT Services,Externe Firma,"Somebody is managing the finance data, right? They all come together and they can take a decision about the self-serve governance. Often when self-serve is left without any
governance, it just becomes a mess. A lot of people start creating their own reports and I'll create my own report. You can create another report. Another person create another report and figure out there's too much loadon the system.",Verbesserung Data Governance,Datenverantwortung (klarer Data Ownership) → Verbesserung Data Governance,,
15,Data Manager,IT Services,Externe Firma,"Because everything run on SAP, I often see enterprise data catalog using a system like Collibra or anything is often useful when enterprise is actually, you can consider so many
different systems that doesn't speak the same language. Means, it comes from different vendors and everything. You need something to stitch together.",Interoperabilität,-,,
15,Data Manager,IT Services,Externe Firma,"Different systems only keep a different kind of data. There are different bespoke systems which only serves a particular purpose. They share, they got an API running from one. Some technical vendors design it, right? And when you really want to go on all those things,you really need a common vocabulary. Otherwise, you can't go on something. Like an example, if you design the data catalog using data model or anything, data catalog need a common vocabulary. That's the most important thing. Otherwise, you're pulling from so many systems.","Gemeinsames Datenverständnis, einheitliche Terminologie & Datenvergleichbarkeit",-,,
15,Data Manager,IT Services,Externe Firma,"One thing is about running the business as an operational way and one thing is running from growth. Unless you have a common view of looking at business futuristic for the next five years, unless you have a common terminology, common language, which enterprise data model, enterprise data catalog can actually give you, right?",Steigerung Business Value,Gemeinsames Datenverständnis einheitliche  Terminologie & Datenvergleichbarkeit --> Steigerung Business Value,,
15,Data Manager,IT Services,Externe Firma,You  put a reporting system on top of it. Everything is one. Now you can serve all the use cases with a single reporting system,Verbesserung für Regulatorik und Compliance,-,,
24,Head of Data EMEA,Globale Bank,Externe Firma,"Data gathering and data presentation represents a significant chunk of the time. So by facilitating the data access, you are saving yourself time as a data analyst or a data person, and you are saving them time. So there is value creation in time wasting or the avoidance of time wasting. It's all about the time saving, which eventually becomes money saving initiatives. But in order to get to that point, you need to have your data catalogs and you need to have your golden source identified because otherwise people will resort to data that is not 100%
reliable. What it is, it's pretty clear. The benefits, I need to show you that where you normally spend two hours looking for the right data or not being able to spot a client
about to attrite, I can do it for you. There's a time-saving mechanism in there. And at the same time, you need to think of what we were saying, that what it took you normally two, three hours a month, now it's going to take you half an hour So it only takes two clients for you to save already three hours and then you do the linear progression, right",Reduktion Aufwand,Datenauffindbarkeit --> Reduktion Aufwand,,
24,Head of Data EMEA,Globale Bank,Externe Firma,"And one of the problems that big organizations as a whole have are data silos, which means that if you want to know the answer for a question, you go to four different existing data tools and you get four different answers. You never know what the right answer is. That's what a data catalog, where your canonical data models, where your centralization of data comes into play.","Gemeinsames Datenverständnis, einheitliche Terminologie & Datenvergleichbarkeit",Gemeinsames Datenverständnis einheitliche  Terminologie & Datenvergleichbarkeit --> Verbesserung Datenqualität --> Erhöhung Datenvertrauen,,
24,Head of Data EMEA,Globale Bank,Externe Firma,"When a salesperson approaches them [new clients], they do not want to knock on the door and say, hi, I just checked on Google… External data sources… help you shape up a more relevant conversation",Steigerung Business Value,Verbesserung Datenqualität --> bessere Entscheidungsgrundlage --> steigerung Business Value (gezieltere Kundenansprache) ,,
24,Head of Data EMEA,Globale Bank,Externe Firma,"So what the data departments and teams are trying to do… is a concept of self-service. [...] Make the data available to your stakeholders so that you can focus on more value adding activities So what the data departments and teams are trying to do across the board in most banks is a concept of self-service. So what you want to do is that you don't have data analysts receiving requests like, can you send me this data cut? Can you send me this P&L? The approach is, why don't we make this data available for our stakeholders? And as long as they don't need a gigantic file, they can download it themselves",Self-Service,"Datenauffindbarkeit, Zugänglichkeit → Self Service --> Reduktion Aufwand",,
16,Data Lead,Private Equity,Externe Firma,"So of course they had data, they had platforms that they were using, providing them withspecific data on financial assets and everything, but they had no clear vision on the dataarchitecture or what they wanted to or how they wanted to link different data sources.

we have a lot of data, we can have a lot ofvalue out of it. How do we make it into a clear and useful data architecture? And also now you have all those discussions coming about AI and how we could implement AI in that.",Steigerung Business Value,bessere Datenqualität --> Steigerung Business Value durch Use Case von AI ,,
16,Data Lead,Private Equity,Externe Firma,"So it was mainly getting all the information about that and then understanding where we had duplicates, where we had data silos or stuff like that. So we also have like, we are regulated by the FINMA, so this has a lot of implications. But in the end, in 2025, it's still a problem, like having those data silos due to regulations or due to other stuff
as well.",Reduktion von Datensilos und Doppelungen ,-,,
16,Data Lead,Private Equity,Externe Firma,"Some people just are asking all year long the same questions to the same people because they need those data for either computing
stuff or reporting to someone else or whatever.",Reduktion Aufwand,"Datenauffindbarkeit, Zugänglichkeit → Self Service --> Reduktion Aufwand",,
16,Data Lead,Private Equity,Externe Firma,"And maybe they use exactly the same data or maybe not. Or maybe one is using, I don't know, the asset under management number from the market provider in dollars and the other in
Swiss Franks. ","Gemeinsames Datenverständnis, einheitliche Terminologie & Datenvergleichbarkeit",-,,
16,Data Lead,Private Equity,Externe Firma,I think what they realize is that a lot of email exchanges and meetings and even questions across the office and everything could be replaced by that and could make the work of people way more efficient.,Reduktion Aufwand,-,,
16,Data Lead,Private Equity,Externe Firma,"But once you have that, I think what their vision is, like the management board vision, is that it can really, really increase the efficiency first, but also the quality of what you're doing
and how extensive the insights you can have on each asset manager as well. ",Steigerung Business Value,Effizienzsteigerung + Arbeitsqualität --> Steigerung Business Value,,
16,Data Lead,Private Equity,Externe Firma,"There are not so many companies that are advanced in, I would say, in digitalization and data management and also implementing maybe at some stage AI and really streamlining the processes and everything. It's still very traditional the way they work. And I think it's also gaining this advantage and being able then to offer better conditions to our clients.",Steigerung Business Value,bessere Kundenkonditionen,,
16,Data Lead,Private Equity,Externe Firma,"so then they can quickly check if they have a fund or not in the database and have information wherever they want it. And so on this side, yes.",Datenauffindbarkeit,Datenauffindbarkeit --> Reduktion Aufwand,,
16,Data Lead,Private Equity,Externe Firma,hey will finally be able to check for information without having to ask a specific person that could be on holiday or thatcould be busy.,Self-Service,Self Service --> Reduktion Aufwand,,
16,Data Lead,Private Equity,Externe Firma,And it also serves as a marketing tool to show clients and also show them what we're able to do and the data that we have and the access of different data points that we might have that they can't have themselves and everything.,Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),Nachvollziehbarkeit --> Steigerung Business Value (Marketing) ,,
16,Data Lead,Private Equity,Externe Firma,"But I think it's quite interesting to think about all the value it could bring because basically from one day to another, you have direct access to all the information and the intelligence of the company. And this, of course, adds value to it.",Accessible (Zugänglichkeit),Accessible --> Steigerung Business Value (Potenzial AI) ,,
16,Data Lead,Private Equity,Externe Firma,"So I think in those kinds of industries, having a tool that can allow you to access directly all the intelligence that you have in-house is just a massive competitive advantage for me",Wettbewerbsvorteil ,Accessible --> Wettbewerbsvorteil ,,
17,Managing Partner,Globale Beratungsfirma,Beratung,But what catalogues tend to help with is the concept of know your data.,Know Your Data (bessere Übersicht) ,-,,
17,Managing Partner,Globale Beratungsfirma,Beratung,"And where is it? And you'd be amazed by how many organisations have no clue about the kind of data that they're handling, where it sits, which applications it sits in. And a lot of the
reason for that is that when data is flowing through systems, it's got field names like field. Yeah, or it's coming on a data feed or it's in an application where you've got fixed names. And it's very difficult for business users to have a good understanding of what information sits where. Yeah, and how it's being transformed through the lifecycle. So what catalogues do a very good job of is, is raising that awareness of know your data, what you've got and where it's stored",Know Your Data (bessere Übersicht) ,Datenauffindbarkeit --> Nachvollziehbarkeit,,
17,Managing Partner,Globale Beratungsfirma,Beratung,"And that really is just business terms, nouns that describe your data so that you can start to group information together. Again, catalogues can really help to support this concept.",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),-,,
17,Managing Partner,Globale Beratungsfirma,Beratung," Yeah, so it doesn't tell you that it's got company financials or geographic or whatever. What catalogues allow you to do is then start to look field by field and classify the contents
and information in those fields, so that you start to get a lot more intelligence about the data within the system",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),-,,
17,Managing Partner,Globale Beratungsfirma,Beratung,"With the Data Catalogue: clients are in a position to start to treat information consistently. And again, this can sometimes create data quality issues. So therefore catalogues indirectly can help with quality.",Verbesserung Datenqualität ,Gleiche Terminologie → Verbesserung Datenqualität,,
17,Managing Partner,Globale Beratungsfirma,Beratung,"What we'll often see is that if, for example, you've got 17 different fields that hold information related to currencies, those 17 different fields may store a different list of currencies. Yeah, there might be two or three differences. But when you try and pull information together or try and do aggregated reporting, you're going to have a lot of inconsistency because maybe you've got a list of 210 currencies in one system, 215 in a different one, 87 in a different one.So if the data is operating to different standards, you don't necessarily know that. What a catalogue can do is allow you to tag all of those fields as currency fields in the 15 different systems. Then you've got understanding of what you ve got and where you've got it.

 Now I can start to think about applying consistency and standardisation. So we as an organisation want one list of currencies. We're all going to use the same list of currencies. It's been agreed by our finance team. Here it is.Now we're going to put that into 15 different places. So that awareness is something that a catalogue can help you to deliver. ","Gemeinsames Datenverständnis, einheitliche Terminologie & Datenvergleichbarkeit",Gemeinsames Datenverständnis einheitliche  Terminologie & Datenvergleichbarkeit --> Nachvollziehbarkeit ,,
17,Managing Partner,Globale Beratungsfirma,Beratung,"We think catalogues are absolutely critical, but not necessarilyin solving quality issues. Much more fundamentally in understanding what you've got and where you've got it. To then allow you to standardise.
",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),"Know Your Data (bessere Übersicht, what youve got) + Where you got it (Nachvollziehbarkeit) ",,
17,Managing Partner,Globale Beratungsfirma,Beratung,"We've got issues with quality or consistency or standardisation, or we don't know what we've got and where we've got it, or we've got a big risk related to privacy, for example, or information security, and again, sometimes that's the symptom. We don't know what we've got and where we've got it, but actually the solution to that is often start with understanding what data you've got and classifying it and using some domain structures to do that. Let's do that in the catalogue.",Datenauffindbarkeit,-,,
17,Managing Partner,Globale Beratungsfirma,Beratung,"we advocate, we really encourage clients to then use that high-quality information about what data sits where, and then use that to actually control other systems and other processes.",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),Nachvollziebarkeit --> Optimierung operativer Prozesse durch datengestützte Abläufe,,
17,Managing Partner,Globale Beratungsfirma,Beratung,"So catalogues can solve multiple purposes, but we always say that having a standalone catalogue with data in it that only the data office use is a complete waste of time and effort, unless it's embedded and unless you're using the intelligence of that system to drive things like entitlements, the role- based access to systems, so which users can have access to which data in which situations, or things like self-service reporting",Datenauffindbarkeit,Datenauffindbarkeit --> Self-Service ,,
17,Managing Partner,Globale Beratungsfirma,Beratung," for example, what we talk about currencies, but the same could be true of countries, it could be the same in terms of client names. If you've got client names that are keyed into 15 different systems individually, you haven't got that concept of single client view. Again, you're going to suffer, you'll struggle because you can't start to bring that information together, you can't consolidate data to do your reporting, you'll have errors in your reporting.",Reduktion Fehleranfälligkeit,Gemeinsames Datenverständnis einheitliche  Terminologie & Datenvergleichbarkeit --> Reduktion Fehleranfälligkeit ,,
20,CEO,Beratungsfirma,Beratung," Ich denke, der grösste Nutzen wird es sein, um deine Daten zu kennen. Ein Kunde ist immer ein gutes Beispiel. Du hast vermutlich x Systeme in deiner Organisation, wo Adressen
und Personen pflegen…. Da kann einem dann ein Datenkatalog helfen, um herauszufinden, wo man die Daten überallverteilt und was man dazu verwenden kann",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),Datenauffindbarkeit --> --> Know your Data --> Nachvollziehbarkeit ,,
20,CEO,Beratungsfirma,Beratung,"über einen Datenkatalog sehen, wo man überall Kunden hat. Man kann dann anschauen, ob es richtig ist, dass man diese Redundanzen hat. Oder gibt es eine Möglichkeit, diese Redundanzen zu eliminieren, damit man nur noch einen Personentopf hat und alles von dort aus kommt.",Reduktion von Datensilos und Doppelungen ,bessere Übersicht --> Nachvollziehbareit --> Reduktion Datensilos und Doppelungen ,,
20,CEO,Beratungsfirma,Beratung,"Da kann einem dann ein Datenkatalog helfen, um herauszufinden, wo man die Daten überall verteilt und was man dazu verwenden kann. Ich denke, das müsste das Thema sein. Wenn du ein Datenprojekt bilden möchtest, für das Reporting, dann ist es sinnvoll, wenn du weisst, von wo die Daten kommen und wie die Daten aufgebaut werden.",Datenauffindbarkeit,Datenauffindbarkeit --> Know your Data -->  Nachvollziehbarkeit -- --> bessere Reportings ,,
20,CEO,Beratungsfirma,Beratung,"Ich denke, wir gehen alle eher in die Richtung data-driven. Aber je mehr du von deinen Daten abhängig bist und je mehr du mit deinen Daten machen kannst und je mehr du das auch in den Kreislauf bringen kannst, dass du nachher ein gescheites Reporting machen kannst, wo du eben steuern kannst, nicht dass du nur Retrospektiven machst. Dann bringt es etwas.",Verbeserung im Reporting,-,,
20,CEO,Beratungsfirma,Beratung,"kritisch: Und ich glaube, dort holst du den meisten Nutzen heraus. Und das hat nichts mit einem DataCatalog zu tun, sondern du musst deine Stammdaten und Referenzdaten, die musst du im Griffhaben, und dann ist die Datenqualität automatisch, alles andere ist gegeben. Das ist, glaube ich, der Punkt

RP-Systeme mit ihren Kundendaten drin, die nehmen wir und konsolidierensie in einem Standart-Tool. Und dort hast du genau die Mechanismen drin, wo du einen Matchmachen kannst, wo du vergleichen kannst, mit AI kannst du noch viel weiter gehen. Und dort ist der Added Value und wir arbeiten auch mit globalen Konzernen.Das ist ein Projekt, das über mehrere Jahre geht, aber da geht es genau darum, die ERPs zuharmonisieren. Oder dass die Supplier, die Lieferanten, wirklich zusammenkommen, dass sievalidiert werden und ein grosser Teil, was wir machen, sind wirklich Workflows, die in dieseTools integriert sind. Also Supplier-Creation, da kannst du extrem viel machen, um zuschauen, dass diese von Anfang an auch richtig sind. Und ich bin überzeugt, das ist der Punkt, wo man den Fokus setzen muss.

Darum bin ich der Meinung, es ist wörtlich gescheiter, wenn du mit dem Stammdatenmanagement anfängst, als mit dem Katalogisieren. Sinnvollerweise könntest du es natürlich parallel machen, aber es ist eine Frage des Aufwand/Ertrags..
",Kritische Meinung,-,,
21,Senior Datra Product Manger,Agrarindustrie,Externe Firma,"Das ist das, was ich auch sehr viel mache, weil das Fehlen von Standards hat zu wirklich, sage ich mal, Komplexitäten geführt, die fast nicht mehr händelbar sind.",Reduktion Komplexität ,-,,
21,Senior Datra Product Manger,Agrarindustrie,Externe Firma,"Ich glaube vor allem auch Transparenz und Knowledge-Entwicklung. Ich glaube, das ist für uns ein ganz großes Thema. Also, vor allem beziehe ich mich jetzt mal auf die Telemetriedateunn

Ja, und sage ich mal, ein typischer Landtechnik-Ingenieur ist jetzt nicht so familiär mit Telemetriedaten und was man damit alles machen kann. Also, wir haben es halt wirklich in dem Bereich geschafft, innerhalb von einem Jahr 35 User auf diese Daten on zu boarden, die eigentlich diese Daten brauchen, aber immer berührungslos. Die wussten nicht, wohin sie gehen können. Sie wussten nicht, was wir da für Daten haben. Sie haben sich immer nur beschwert, dass, ja, man macht nichts mit den Daten.
Und da hilft meiner Meinung nach, also wir haben dann im Grunde so eine Journey aufgebaut, gesagt, okay, im ersten Schritt sollen sich die Leute halt bei einem zentralen Punkt melden, dass sie Interesse haben, mit unseren Daten zu arbeiten. Dann haben wir wirklich gesagt, okay, im ersten Schritt kriegt ihr immer Zugang zur Informatika, könnt euch da den Katalog mal anschauen. Das war auch alles, also alle 640 Werte waren dort beschrieben.",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),Nachvollziehbarkeit --> Knowledge Entwicklung,,
22,Chief Data Officer,Bank,Externe Firma,"This is something that it's always a big discussion between peers. If you want to connect the offensive part of this, right now in this historical period it's really simple. Because if you have a proper data catalog and you have a semantic layer that is on top of your data catalog, you can put Gen AI in order to read your data easily.",Potenzial für AI,-,,
22,Chief Data Officer,Bank,Externe Firma,Your able to see lineage --> you see where the data comes from,Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),Lineage ,,
22,Chief Data Officer,Bank,Externe Firma,"Marketplace, where business users can search for different data: another stuff that is convenient when you have an enterprise data catalog documented is to
have a sort of market data, mainly for reporting purpose and enabling the data mesh.

Verbesserung Reporting: I mean, if you document your data and you have an updated enterprise data catalog, after you can provide this lake of documented data to your business, a business can easily build the report by their own and consume the information. Because otherwise, if the information is not properly documented, you are not able to do reporting. And for this, you centralize maybe the reporting unit.",Verbeserung im Reporting,-,,
22,Chief Data Officer,Bank,Externe Firma," Yeah, because if you want to build an operating model, our main pain point that we have with our data owner and data steward is, okay, but I want to know what are the perimeter of the information that I own. And I then put several weeks to draw on for the credit purpose to see, okay, the credit amount, the credit limit, et cetera, et cetera. And we carve out the lake of information in the information domain. The people know who are responsible for which data. --> Easier to do governance on the data",Verbesserung Data Governance,klare Verantwortlichkeiten --> bessere Data Governance,,
22,Chief Data Officer,Bank,Externe Firma,"implemented business glossary like so that everybody in your organization has the same definition:  I think that is the quality of the information because what we are facing now is that not having a proper definition of the information, mainly on the aggregate information or  calculated data.-->  if you define one rules that define what is that information for you after you don't have quality issue and representing the reality in a different way. And this is really, really, really important.","Gemeinsames Datenverständnis, einheitliche Terminologie & Datenvergleichbarkeit",Gemeinsames Datenverständnis einheitliche  Terminologie & Datenvergleichbarkeit --> Verbesserung Datenqualität ,,
22,Chief Data Officer,Bank,Externe Firma,"Shared Definition, that all people in the bank can use it  in one way ","Gemeinsames Datenverständnis, einheitliche Terminologie & Datenvergleichbarkeit",-,,
22,Chief Data Officer,Bank,Externe Firma,"whole because if you don't have EDC, you cannot do data quality. f you don't have data quality, you cannot do advanced analytics and AI. And what we are doing now is that we are measuring the cost saving across the organization in terms of automatization of reporting process. But we cannot do that part if we don't have a clear understanding and clear data catalog and data model understanding.",Know Your Data (bessere Übersicht) , bessere Datenqualität --> AI ,,
22,Chief Data Officer,Bank,Externe Firma,...We have the availability. So we have on our catalog all the information that can cause a serious issue to the bank if they are not available.,Datenauffindbarkeit,-,,
8,Experte,SAP,EDM / EDC Anbieter,"damit letzten Endes, wenn jetzt jemand hier sein EMEA-Consulting-Skillset-Forecast bauen will und er weiß, ich könnte gut Sachen von demund von dem gebrauchen, dass er sich hier diese beiden Pakete abholen kann. Also die sindbei uns dann gelistet im Katalog.",Accessible (Zugänglichkeit),-,,
8,Experte,SAP,EDM / EDC Anbieter,"Früher war Analytics bei SAP dezentral in Silos organisiert (z. B. Sales, Marketing, HR), was schnelle und fachnahe Analysen ermöglichte. Der Nachteil war jedoch eine unübersichtliche Tool-Landschaft und fehlende Entwicklungsmöglichkeiten für Mitarbeitende. Daher wurde die Analytics-Funktion zentralisiert, was allerdings die Nähe zum Fachbereich reduzierte. Um dies auszugleichen, werden nun Self-Service-Funktionen und standardisierte Datenprodukte im semantischen Layer geschaffen. So können Business-Nutzer auf vorhandene Datenpakete zugreifen und Use-Cases schneller umsetzen, ohne alles neu entwickeln zu müssen.",Self-Service,-,,
8,Experte,SAP,EDM / EDC Anbieter,"Also für uns geht eseinmal darum, um Effizienz, aber auch um einen schnelleren Insight to Action. Und einfach auch mehr Visibilität, was es alles gibt.",Know Your Data (bessere Übersicht) ,Know Your Data (bessere Übersicht) --> Effizienz,,
8,Experte,SAP,EDM / EDC Anbieter,"Und wenn dann alle im Prinzip auch nach Standards und Prozessen vorgehen und das publizieren, dann erreichen wir auch eine bessere Lineage, was wir nie hatten. Das heißt, man hat eine Transparenz, wer benutzt eigentlich was von wo. Man muss sich auch vorstellen, dass bei diesen Datenprodukten gibt es dann primäre Datenprodukte und abgeleitete
Datenprodukte",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),-,,
8,Experte,SAP,EDM / EDC Anbieter,"Wenn alle Datenprodukte dann immer auch auf den gleichen Stammdaten aufbauen, die dann in der Regel auch besser gepflegt sind, was die Qualität betrifft, dann erreichen wir auch Konsistenz. Und das heißt auch aus Datenqualitätssicht sind da enorme Vorteile und gerade auch im Zusammenhang mit AI ist das dann natürlich ein riesen Thema, was wir damitadressieren.",Verbesserung Datenqualität ,Verbesserung Datenqualität  --> AI,,
8,Experte,SAP,EDM / EDC Anbieter,"Weil die Initiative Katalog zählt da darauf ab, zu zeigen, was es gibt und auch dann die Nutzung der Daten auch enorm zu erhöhen. ",Wiederverwendung von Daten (Reuseability) ,-,,
8,Experte,SAP,EDM / EDC Anbieter,"Ein Migrationsprojekt hat, muss man sich auf jeden Fall um die Daten kümmern. Weil man bereinigt Stammdaten, man bereitet alles vor, alle Dupletten raus und so weiter und so fort.",Hilfe bei Migrationsprojekten ,-,,
8,Experte,SAP,EDM / EDC Anbieter,"Aber ich glaube, was der Katalog an sich im ersten Schritt erreicht, ist einfach, was gibt es überhaupt alles. Und wenn man dann auch noch, was ja auch nicht jeder macht, dann aber einen Datenproduktansatz fährt, dann packt man eben die Governance, die man braucht, rund um diese Daten drum herum und ermöglicht dadurch einfach eine viel grössere Gruppe innerhalb der Firma den Zugriff auf die Daten. Was dann letzten Endes dazu führen sollte, dass einfach das Analytics-Reporting oder auch das Decision-Making viel besser wird.",Datenauffindbarkeit,Datenauffindbarkeit --> Gemeinsames Datenverständnis einheitliche  Terminologie & Datenvergleichbarkeit  --> Know Your Data (bessere Übersicht ) --> Nachvollziehbarkeit --> bessere Entscheidungsfindung + bessere Analytics Reporting,,
8,Experte,SAP,EDM / EDC Anbieter,"Das heisst, viele sind mit dem Datenkatalog, so wie wir es verstanden haben, gestartet, miteinem speziellen Use-Case zum Beispiel. Und so ist auch Collibra gross geworden in der Finanzindustrie. Da hat man halt enorme Compliance-Anforderungen an Daten. Und dann muss man anfangen, das irgendwie zu dokumentieren. Und dann ist es erst mal nur ein Dokumentieren. ",Verbesserung für Regulatorik und Compliance,Bessere Dokumentation --> Verbesserung Regulatorik und Compliance,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Und wir waren einer der ersten Firmen, die Data Mesh eingeführt haben. Wir sind in die Cloud migriert, wir hatten ein Data Lake. Und ich habe dann gesagt, oh Leute, das funktioniert alles so nicht. Wir brauchen einen Data Catalog für den Data Lake, ansonsten wird das ein Untier...Das war dann der Punkt, wo wir es geschafft haben, den Data Catalog wirklich mit der ganzen Firma auszurollen, mit allen Datenquellen zu connecten, um dann zu wissen, was drin ist. Und dann war es eigentlich ein sehr gutes Läufe. ",Know Your Data (bessere Übersicht) ,-,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Wir haben dann, was wir dann gesehen haben, da haben wir einen richtigen Wert aus dem Data Catalog gesehen, durch das, dass wir dann alle Datenquellen drin hatten, hatten die Analysten schlagartig Zugang zu einer ganz anderen Datenbasis.",Reduktion Aufwand,Reduktion Aufwand (schnellerer Zugriff) ,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Also wir haben auch aufgehört, dass für AI dann in der zweiten Phase du halt sehr saubere Daten auch brauchst, wo je nachdem ein Katalog oder ein Datamodel dir natürlich hilft, das zu erreichen und dass das für viele schon Grund genug ist, solche Initiativen zu verfolgen.

Das ist wieder ein super tolles Beispiel. IOs hören auf Konferenzen, wie toll AI ist, kommen von der Konferenz zurück und sagen ihren Leadern, hey, wir müssen mehr AI machen, super toll. Was passiert? Die testen das, haben erst die tollen Use Cases, erkennen dann, shit, wenn ich Garbage In mache, kommt Garbage Out raus. Also verstehen sie, ja, wir müssen an unserem Fundamentus was verändern. Dann gehen sie wieder zum CEO und sagen, hey, AI ist cool, aber leider haben wir die letzten zehn Jahre Scheiße gebaut, wir müssen erstmal unsere Datenqualität hochbringen. ",Verbesserung Datenqualität ,Verbesserung Datenqualität  --> AI,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Und da kannn auch wieder ein Data Catalog, der zum Beispiel genau diese Datenpfade aufzeigt, sehr hilfreich sein.",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),-,,
