NR,Rolle,Firma,Typ,Aussage,Cluster,Beschreibung,
6,Data Manager,Versicherungsfirma,Externe Firma,"Und das ist tatsächlich so die Hoffnung, endlich auch ein bisschen breitere Mengen an
Menschen im Konzern zu erreichen. Weil letztendlich das Problem ist, gar nicht die einzelnen
kleinen Use Cases zu finden und mit denen das umzusetzen. Das haben wir geschafft, aber
das zu skalieren, das haben wir bislang nicht geschafft.",Pain Point,Zu skalieren was bis jetzt eine Herausforderung und konnte nicht erreicht werden ,
6,Data Manager,Versicherungsfirma,Externe Firma,"Okay. Nur als Heuristik vielleicht, es steigt mit der Komplexität der Systematik. Umso mehr Systeme du hast, umso komplexer die sind, umso schlechter auch die Standardisierung der Anbindung ist, umso schwieriger wird das Projekt und umso länger dauert es.
",Volle / Restliche Implementierung,"Je komplexer systematik, desto länger dauert Implementierungsprozess",
6,Data Manager,Versicherungsfirma,Externe Firma,"Und zwar, was wir aktuell auch machen, ist, wir schneiden die Rollen im Datenumfeld neu.
Und in den neuen Rollenbeschreibungen werden wir den leider in Anführungsstrichen
vorgehen, dass die es zu tun haben. Und das bedeutet, für die wirkliche Skalierung im
gesamten Haus brauchst du sinnvolle, machbare Vorgaben.
Wo die Data-Enthusiasten, oder vielleicht auch nicht so große Enthusiasten, aber die Data-
Leute im Haus, diese Vorgaben haben. Sie wissen, oh shit, jetzt muss ich was machen. Aber
wo die gleichzeitig auch sehen, okay, das macht total Sinn.
Und das wird mir auch was bringen. Ja, es ist ein Aufwand, aber es bringt schon was.",Vorarbeit ,"Die Rollen im Datenumfeld werden neu definiert und mit klaren, umsetzbaren Aufgaben versehen, sodass alle Beteiligten wissen, was zu tun ist und gleichzeitig den Mehrwert ihres Beitrags erkennen",
8,Experte,SAP,EDM / EDC Anbieter,"Weil wenn man ein Migrationsprojekt hat, muss man sich auf jeden Fall um die Daten
kümmern. Weil man bereinigt Stammdaten, man bereitet alles vor, alle Dupletten raus und
so weiter und so fort. Überlegt sich auch im Zielsystem, wie die optimale Struktur dann ist der
Daten",Vorarbeit ,"Vorbereitung auf Migrationsprojekt essentiell, optimale Struktur der Daten und Strategie muss vor Implementierung stehen",
24,Head of Data EMEA,Globale Bank,Externe Firma,"So you start by this. So you say, before I even talk about the tool, I'm going to tell you
what it is. In what way it's going to be helpful for you and how little effort you will need to
make.",Vorarbeit ,"Vor der Implementierung erzählen, was Tool bewirken wird und wo die Vorteile sind ",
24,Head of Data EMEA,Globale Bank,Externe Firma,"One, what is this? Why is this relevant for me? What are the benefits for me?
The me meaning them, not me. What is this? Why is this relevant to them?
If you cannot answer those four questions, your presentation is doomed to fail. Or if you
realize at that point that it requires a gigantic effort from people, well, already most people
are overworked and most departments are understaffed. You have to take that. ",Pain Point,"Leute an Board holen bevor Aufwand präsentiert wird - viele Leute sind schon überarbeitet
Wenn der Nutzen für die Zielgruppe nicht klar ist und der Aufwand hoch, scheitert jede Initiative – denn überlastete Teams investieren nicht in etwas, das für sie keinen erkennbaren Mehrwert bringt",
24,Head of Data EMEA,Globale Bank,Externe Firma,"And delivering good messages in very short periods of time is highly appreciated. So
getting to the habit of having a one-pager where you deliver the main message in five
minutes, then you can get into the detail. But if you do not get their attention, if you do not
get their curiosity, it will be wasted time.",First Value ,"Zwischenergebnisse in einem One Pager festhalten, damit MA motiviert bleiben und ihren Fortschritt sehen, diese in kurzen Zeitspannen präsentieren 
",
5,Data & AI Experte,Beratungsfirma,Beratung,"Data catalog technologiegetrieben eingeführt - Das war relativ einfach, weil es die Analysten alle sehr schnell aufgegriffen haben. Es wurde
dann aber schnell, also dann kam auch das ganze Thema GDPR ja mit rein bei uns. .",Volle / Restliche Implementierung,"Die technologische Implementierung des EDC ging relativ schnell und einfach, da Analysten den Prozess verstenden haben",
5,Data & AI Experte,Beratungsfirma,Beratung,"Weil meine Erfahrung ist, kleine Unternehmen, da ist es eher einfach,
weil die nicht so viele Datentöpfe haben, da gibt es nicht so viele Menschen, da kann man
leicht an alle Menschen hin.
Da funktioniert es noch relativ gut, so einen Data Catalog einzuführen. Wenn wir jetzt über
Mittelstand sprechen, da ist meine Erfahrung so, dass viele nicht bereit sind, in einen Data
Catalog zu investieren, weil viele Data Catalog-Lösungen doch nicht billig sind. Da ist oft ein
Widerstand, da wirklich rein zu investieren.",Pain Point,"
Implementierung bei grösseren Unternehmen  sind Ressourcenintensiver und benötigen einen grösseren Aufwand - Motivation dementsprechen tiefer
",
5,Data & AI Experte,Beratungsfirma,Beratung,"in Enterprise ist es für
die Data Catalog-Firmen super einfach reinzukommen. Da sellen die sehr, sehr leicht, weil da
ihr Preis wieder eher niedrig ist und die alle glauben, dass der Need da ist. Da gibt es aber
wirklich dieses große Problem, wie bringt man das Data Catalog so integriert, dass er mit
möglichst vielen Datenquellen connectet.",Pain Point,"Angebot ohne konkreter Use Case, schwierig zu implementieren ",
5,Data & AI Experte,Beratungsfirma,Beratung,"Also technologisch würde ich sagen, kann man an alle eigentlich einen Haken hinmachen. So,
dann ist für mich immer die zweite Frage, wie sieht die Hilfe bei der Integration aus? Da ist es
wieder so, dass sie schon sehr unterschiedlich sind.",Pain Point,technologischer Aufwand nicht so gross aber Integration immer schwierig,
5,Data & AI Experte,Beratungsfirma,Beratung,"Was ich immer sage ist, du brauchst für so einen
Data-Catalog in der Firma einen Owner, der dieses Tool und die Kultur rund um diesen Data-
Catalog und Aktivitäten macht. Ob das jetzt jemand aus dem Data-Governance-Team ist oder
ob das jemand aus dem Analytics-Team ist oder aus dem Business, das ist, glaube ich, ziemlich
egal.
Es braucht jemanden, einen kreativen Menschen, der ein bisschen Marketingverstand hat,
weil er muss Marketing machen, um das Tool wirklich zum Leben zu bringen. Für mich ist
eigentlich der Knackpunkt, was ist das Data Maturity Level von der Firma? Wie weit denkt die
Firma Data drüber?
Okay, also meine Erfahrung ist, dass es erstmal ein, wer diese ganze Ownership hat, ist
aus meiner Sicht ziemlich egal, wo der irgendwo ist. Es muss eine kommunikationsstarke
Person sein. ",Reifegrad ,"Owner muss bestimmt werden, Data-maturity Level der Firma herausfinden (betrifft dann auch Geschwindigkeit der Implementierung und Integration)

Andere sagen Owner muss aus Busniess und NICHT aus IT kommen, er meint es sei egal - kleiner Wiederspruch",
5,Data & AI Experte,Beratungsfirma,Beratung,"Das ist das, was ich sehe in der Firma, die schon wirklich in der Lage ist, datengetrieben zu
denken, die Entscheidungen auf Daten basieren. Für die ist es einfach, einen Data-Catalog zu
verwenden. Wenn ich ein niedriges Data Maturity Level habe, wenn die Firmen noch nicht
verstehen, welchen Wert Daten haben, dann hat der Data-Catalog es echt schwer.",Reifegrad ,Implementierung EDC macht erst ab einem gewissen Reifegrad der Daten sinn. ,
5,Data & AI Experte,Beratungsfirma,Beratung,"Da habe ich gerade vor kurzem den ersten interessanten Ansatz bei einem Beratungsunternehmen gesehen,
die sozusagen, bevor sie einen Data-Catalog der Firma empfehlen, einen Data Maturity
Assessment machen und sagen, um damit es Sinn macht, einen Data-Catalog einzuführen,
müsst ihr erst auf einem gewissen Data Maturity Level sein. Wenn ihr da nicht seid, müssen
wir erst mal die und die Trainings machen, müssen wir erst mal Data Literacy usw. in der Firma
einführen, etablieren und erst dann macht es Sinn, über den Data-Catalog zu sprechen.",Reifegrad ,"Data-Maturity identifizieren - erst ab einer gewissen Reife macht es Sinn zu implementieren, sonst braucht es Trainings und Daten Schulungen",
5,Data & AI Experte,Beratungsfirma,Beratung,"Das finde ich persönlich einen sehr guten Ansatz. Ansonsten ist die Gefahr, dass du Geld in
ein teures Tool investierst, was die Firma nicht, weil sie einfach nicht auf diesem Maturity
Level ist, nicht nutzen kann, nicht nutzt.",Pain Point,"Es besteht die Gefahr, dass Geld investiert wird, obwohl das Unternehmenn noch nicht den Reifegrad hat, und so das Tool keinen Nutzen hat",
5,Data & AI Experte,Beratungsfirma,Beratung,"Ich nehme an, das geht Hand in Hand, oder? Also es ist ja ähnlich, oder es ist
genauso anwendbar mit dem Thema Data Catalog und allgemein Daten Management, oder?
Also es ist ja sehr viel überschneidend, nehme ich an.

MS: Richtig, ja.",Reifegrad ,"EDM und EDM verlangen einen gewissen Reifegrad, ansonsten macht die einführung des Tools keinen Sinn",
5,Data & AI Experte,Beratungsfirma,Beratung,"Und im Endeffekt geht es ja darum, dass ein Data Producer Ownership für seine
Datenquelle und meistens auch noch irgendwie den Prozess, die Daten in den Data Lake oder
wohin reinzubringen, übernimmt. Und ich sehe viele, sehr, sehr viele Organisationen, die Data
Mesh einführen möchten, die genau daran scheitern, dass die Data Producers nicht bereit
sind, die Ownerships für diesen Prozess, ihre Daten sammeln und das dann in den Data Lake
reinschreiben, übernehmen.",Pain Point,Data Producers sind nicht bereit Data-Ownership zu übernehmen,
5,Data & AI Experte,Beratungsfirma,Beratung,"Übernehmen heißt nicht nur irgendwo hinschreiben, I'm the Owner, sondern auch
wirklich bereit zu sein, wenn es mal ein Problem gibt, da zu investieren, eine Pipeline zu fixen,
die Daten zu dokumentieren, ein Datenformat zu ändern, wenn nötig ist oder irgendwas.",Pain Point,Owner zu sein bringt viel Aufwand/Arbeit mit sich und deshalb möchte es niemand sein,
7,Data Architect,Versicherungsfirma,Externe Firma,"So that's one of the expectation management that needs to be done typically by the
enterprise architect team and the leadership team. So it's a long journey and a patient
journey.",Volle / Restliche Implementierung,"Es ist Sache des Unternehenesgestaltungs und Führunsteams, was bedeuted es braucht viel Zeit ",
7,Data Architect,Versicherungsfirma,Externe Firma,"The approach works so the approach is fine the only question is how patient is business
because typically all business sponsors typically they invest their money in such projects right
so be it the business function or the executive leadership right and if there is no tangible
output on production then they start to feel a bit impatient or hesitant and start losing the
trust on the team. ",Pain Point,"Genau weil es lange geht bis die ersten grossen First Value auftauchen gibt es viel Misstrauen, diesem muss mit  kleinen Erfolgen entgegengewirt werden",
9,Chief Data Officer,Wirtschaftsprüfung,Beratung,"EDM, EDC braucht Zeit,
umso grösser das Unternehmen, umso fragmentierter die IT-Infrastruktur, umso mehr Zeit
brauche ich dafür, das heisst, wir reden hier wirklich von Jahren, mehrere Jahre, ein Projekt,
um das alles aufzubauen, das kostet man zuerst einfach Geld, viel Geld,",Volle / Restliche Implementierung,"EDM und EDC braucht Zeit, vor allem bei grösseren Unternehmen muss bei einer Implementation mit mehrern Jahren gerechnet werden",
26,Data Executive,Finanzdienstleistungen,Externe Firma,"So like ideally, if I had endless time and endless money, I would spend time trying to work
on all my data. But in a real world, you don't have that much budget. You don't have that
much people to really focus on all the data.",Pain Point,"Es fehlen die Ressourcen, die Zeit und das Budget um etwas zu Implementieren",
29,Geschäftsleitung,Collibra,EDM / EDC Anbieter,"But anyway, so you need to have at least three use cases identified. This is our
recommendation between one to three. And then you need to prepare yourself for during
the journey, you're going to come up with more use cases.
Because if you're six months or 12 months into your catalog initiative and only now you
start talking with those privacy people, then only then that use case of the process registry
is going to come up. So what I mean to say is that to make this successful is that there's
going to be a roadmap of use cases that you're going to be supporting with your catalog
initiative. And every use case is going to depend on a persona in the organization",Vorarbeit ,Es wird empfolen 3 Use Cases zu indetifizieren. Ansonsten verliert man Zeit bis man nicht mehr mit nur privaten Personen spricht,
30,Head of Community,IT Services,EDM / EDC Anbieter,"User Training sind es die Menschen, also am Ende mache ich ja Change
Management, stell den Tool hin und ob die da Bock drauf haben, das zu nutzen, entscheiden
die und ob sie da irgendwie offen für sind und also wirklich User Training, User Akzeptanz ist
aus meiner Sicht so der typische Erfolgsfaktor für solche Themen.",Pain Point,"Ohne echte Nutzerakzeptanz und gezieltes Training scheitert selbst das beste Tool, denn ob es genutzt wird, entscheiden am Ende die Menschen, nicht die Technik",
30,Head of Community,IT Services,EDM / EDC Anbieter,"Masse an Daten, also wirklich dieses habe ich Ressourcen verfügbar,
dass ich irgendwie eine kritische Masse an Daten da drin habe, weil wenn ich einmal in den
Datenkatalog gehe und drei Abfragen mache und alle Daten, die ich eigentlich abfragen
wollte, nicht gefunden habe, dann gehe ich kein zweites Mal zurück.",Pain Point,"Fehlt im Datenkatalog eine ausreichende Datenabdeckung, verlieren Nutzer schnell das Vertrauen und kehren im Zweifel nicht wieder zurück",
30,Head of Community,IT Services,EDM / EDC Anbieter,"Das heißt, ich muss, das ist ja so ein Plattformgedanke, ich muss mindestens so eine minimal
kritische Masse an Informationen finden, sonst macht mir das Tool keinen Spaß, bringt mir
keinen Mehrwert und dann ist es für mich nicht nutzbar, habe ich einmal, vielleicht zweimal
probiert und dann lasse ich es.",Pain Point,Ohne eine kritische Mindestmenge an relevanten Informationen liefert die Plattform keinen wahrnehmbaren Mehrwert und wird von den Nutzern schnell ignoriert,
